Family1,Family2
ACCIAIUOL,MEDICI
ALBIZZI,GINORI
ALBIZZI,GUADAGNI
ALBIZZI,MEDICI
BARBADORI,CASTELLAN
BARBADORI,MEDICI
BISCHERI,GUADAGNI
BISCHERI,PERUZZI
BISCHERI,STROZZI
CASTELLAN,PERUZZI
CASTELLAN,STROZZI
GUADAGNI,LAMBERTES
GUADAGNI,TORNABUON
MEDICI,RIDOLFI
MEDICI,SALVIATI
MEDICI,TORNABUON
PAZZI,SALVIATI
PERUZZI,STROZZI
RIDOLFI,STROZZI
RIDOLFI,TORNABUON
BARBADORI,CASTELLAN
BARBADORI,GINORI
BARBADORI,MEDICI
BARBADORI,PERUZZI
BISCHERI,GUADAGNI
BISCHERI,LAMBERTES
BISCHERI,PERUZZI
CASTELLAN,LAMBERTES
CASTELLAN,PERUZZI
GINORI,MEDICI
GUADAGNI,LAMBERTES
LAMBERTES,PERUZZI
MEDICI,PAZZI
MEDICI,SALVIATI
MEDICI,TORNABUON
MEDICI,MEDICI
